,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,mood
171,0.232,0.819,173675,0.78,0.546,4,0.174,-10.976,0,0.154,123.044,4,0.53,happy
172,0.168,0.615,271307,0.732,0.0,5,0.196,-9.388,0,0.363,168.053,4,0.801,happy
173,0.324,0.758,417103,0.649,0.764,0,0.247,-10.195,0,0.067,123.954,4,0.237,happy
174,0.116,0.406,63802,0.559,0.882,3,0.148,-12.532,0,0.097,152.632,3,0.209,happy
175,0.0785,0.442,184113,0.609,0.581,1,0.151,-10.341,1,0.162,89.203,4,0.424,happy
176,0.96,0.233,132139,0.11,0.933,7,0.12,-23.707,1,0.0414,72.725,4,0.0658,happy
177,0.495,0.424,230782,0.514,0.792,1,0.0633,-13.421,1,0.0773,93.728,3,0.497,happy
178,0.192,0.424,238484,0.523,0.383,4,0.166,-11.01,0,0.198,80.479,4,0.588,happy
179,0.121,0.486,145643,0.6,0.108,5,0.131,-10.395,0,0.297,187.981,4,0.886,happy
180,0.277,0.578,298067,0.627,0.693,10,0.158,-10.47,0,0.0683,79.864,4,0.429,happy
181,0.0739,0.8,124001,0.42,0.871,7,0.128,-13.108,1,0.283,93.939,3,0.727,happy
182,0.979,0.227,75620,0.0377,0.966,7,0.107,-21.824,1,0.0379,67.249,5,0.0383,happy
183,0.885,0.594,173187,0.446,0.227,11,0.175,-13.576,0,0.0393,143.754,1,0.201,happy
184,0.597,0.81,112406,0.461,0.334,9,0.16,-13.071,0,0.0712,91.924,4,0.675,happy
185,0.358,0.422,170424,0.537,0.814,4,0.12,-12.152,0,0.0858,180.136,1,0.502,happy
186,0.108,0.59,101818,0.65,0.87,6,0.131,-9.664,1,0.0323,110.223,3,0.463,happy
187,0.895,0.563,88806,0.266,0.123,6,0.0876,-13.52,0,0.0307,97.555,3,0.225,happy
188,0.973,0.484,154200,0.222,0.000306,5,0.104,-14.631,0,0.044,127.756,4,0.409,happy
189,0.439,0.637,369640,0.352,0.0324,11,0.477,-16.022,0,0.0323,89.076,4,0.623,happy
190,0.101,0.764,223030,0.475,0.233,11,0.0663,-12.894,0,0.222,99.106,4,0.618,happy
191,0.461,0.57,81611,0.384,0.00763,8,0.328,-10.453,1,0.0388,160.068,3,0.231,happy
192,0.842,0.669,200000,0.564,0.628,1,0.0865,-7.893,0,0.045,90.031,4,0.726,happy
193,0.626,0.7,186394,0.464,0.0824,0,0.361,-10.221,1,0.303,78.095,4,0.54,happy
194,0.51,0.548,123023,0.689,0.0456,10,0.0769,-8.392,1,0.143,165.532,4,0.69,happy
195,0.204,0.836,197143,0.297,0.335,7,0.0737,-8.361,0,0.129,97.98,4,0.671,happy
196,0.803,0.635,206067,0.405,0.69,7,0.0483,-15.862,0,0.0412,90.705,4,0.364,happy
197,0.992,0.777,89533,0.048,0.923,1,0.106,-21.343,1,0.0717,101.242,4,0.816,happy
198,0.945,0.172,142480,0.28,0.755,2,0.104,-11.499,1,0.0331,66.154,3,0.0676,happy
199,0.0723,0.871,216573,0.575,0.0243,11,0.59,-8.048,1,0.236,91.91,4,0.656,happy
200,0.92,0.146,93840,0.019,0.878,0,0.0864,-31.365,1,0.0476,81.526,3,0.0492,happy
201,0.819,0.515,195893,0.437,0.768,10,0.109,-10.572,1,0.335,178.976,4,0.718,happy
202,0.876,0.183,277053,0.458,0.776,2,0.355,-9.651,0,0.0459,69.352,4,0.0661,happy
203,0.922,0.625,223640,0.108,1.22e-06,7,0.11,-15.527,0,0.0329,92.128,4,0.334,happy
204,0.885,0.264,371320,0.122,0.349,9,0.094,-15.399,1,0.0349,148.658,4,0.0735,happy
205,0.737,0.578,225094,0.438,0.00877,2,0.0965,-11.483,0,0.0696,89.083,4,0.79,happy
206,0.439,0.557,229167,0.78,4.18e-06,2,0.141,-8.689,1,0.365,80.984,4,0.368,happy
207,0.521,0.645,333200,0.519,0.00213,8,0.0929,-6.837,0,0.0384,87.926,4,0.667,happy
208,0.509,0.765,361067,0.753,0.588,7,0.221,-9.061,1,0.147,120.486,4,0.493,happy
